Tecnica,Modelo,Parametros,fit_kwargs,Tiempo,Accuracy Todas,Accuracy Aceptadas,F1 score Todas,F1 score Aceptadas,Nº de rechazadas,Rechazadas
Boruta,"XGBClassifier(colsample_bytree=0.5, learning_rate=0.1, max_depth=5, n_estimators=600)",{},{},4.098543643951416,0.9874338624338623,0.9794973544973544,0.9841269841269841,0.976,14,"['perimeter_se', 'smoothness_se', 'concavity_se', 'concave points_se', 'fractal_dimension_se', 'compactness_mean', 'fractal_dimension_mean', 'compactness_se', 'texture_se', 'smoothness_worst', 'symmetry_mean', 'smoothness_mean', 'fractal_dimension_worst', 'symmetry_se']"
Boruta,"XGBClassifier(colsample_bytree=0.9, learning_rate=0.1, max_depth=5, n_estimators=450)",{},{},4.422171354293823,0.9702380952380952,0.9702380952380952,0.9606299212598425,0.9606299212598425,18,"['perimeter_se', 'smoothness_se', 'area_mean', 'concavity_se', 'concave points_se', 'radius_mean', 'fractal_dimension_se', 'perimeter_mean', 'compactness_mean', 'fractal_dimension_mean', 'area_se', 'compactness_se', 'texture_se', 'smoothness_worst', 'symmetry_mean', 'smoothness_mean', 'fractal_dimension_worst', 'symmetry_se']"
Boruta,"XGBClassifier(colsample_bytree=0.5, learning_rate=0.01, max_depth=8, n_estimators=650)",{},{},3.2657828330993652,0.9589947089947091,0.966931216931217,0.9516129032258064,0.96,13,"['perimeter_se', 'smoothness_se', 'compactness_se', 'texture_se', 'concavity_se', 'symmetry_mean', 'concave points_se', 'fractal_dimension_se', 'compactness_mean', 'smoothness_mean', 'fractal_dimension_worst', 'fractal_dimension_mean', 'symmetry_se']"
Boruta,"XGBClassifier(colsample_bytree=0.5, learning_rate=0.01, max_depth=4, n_estimators=950)",{},{},4.681477785110474,0.9623015873015872,0.9794973544973544,0.9523809523809523,0.976,13,"['perimeter_se', 'smoothness_se', 'compactness_se', 'texture_se', 'concavity_se', 'symmetry_mean', 'concave points_se', 'fractal_dimension_se', 'compactness_mean', 'smoothness_mean', 'fractal_dimension_worst', 'fractal_dimension_mean', 'symmetry_se']"
Boruta,"XGBClassifier(colsample_bytree=0.7, learning_rate=0.001, max_depth=6, n_estimators=550)",{},{},5.590047836303711,0.9656084656084656,0.960978835978836,0.953125,0.9457364341085271,15,"['perimeter_se', 'smoothness_se', 'concavity_se', 'concave points_se', 'fractal_dimension_se', 'compactness_mean', 'fractal_dimension_mean', 'concavity_worst', 'compactness_se', 'texture_se', 'smoothness_worst', 'symmetry_mean', 'smoothness_mean', 'fractal_dimension_worst', 'symmetry_se']"
Boruta,"XGBClassifier(colsample_bytree=0.7, learning_rate=0.001, max_depth=8, n_estimators=100)",{},{},5.341756343841553,0.9702380952380952,0.9702380952380952,0.9606299212598425,0.9606299212598425,14,"['perimeter_se', 'smoothness_se', 'concavity_se', 'concave points_se', 'fractal_dimension_se', 'compactness_mean', 'fractal_dimension_mean', 'compactness_se', 'texture_se', 'smoothness_worst', 'symmetry_mean', 'smoothness_mean', 'fractal_dimension_worst', 'symmetry_se']"
Boruta,"XGBClassifier(colsample_bytree=0.7, learning_rate=0.001, max_depth=6, n_estimators=100)",{},{},5.765098333358765,0.9702380952380952,0.9702380952380952,0.9606299212598425,0.9606299212598425,14,"['perimeter_se', 'smoothness_se', 'concavity_se', 'concave points_se', 'fractal_dimension_se', 'compactness_mean', 'fractal_dimension_mean', 'compactness_se', 'texture_se', 'smoothness_worst', 'symmetry_mean', 'smoothness_mean', 'fractal_dimension_worst', 'symmetry_se']"
Boruta,"XGBClassifier(colsample_bytree=0.7, learning_rate=0.1, max_depth=4, n_estimators=250)",{},{},4.0401928424835205,0.9623015873015872,0.9748677248677249,0.9523809523809523,0.9682539682539683,17,"['perimeter_se', 'smoothness_se', 'area_mean', 'concavity_se', 'concave points_se', 'radius_mean', 'fractal_dimension_se', 'perimeter_mean', 'compactness_mean', 'fractal_dimension_mean', 'compactness_se', 'texture_se', 'smoothness_worst', 'symmetry_mean', 'smoothness_mean', 'fractal_dimension_worst', 'symmetry_se']"
Shapicant,"XGBClassifier(colsample_bytree=0.9, learning_rate=0.1, max_depth=9, n_estimators=500)",{},{},64.53610181808472,0.9623015873015872,0.9623015873015872,0.9523809523809523,0.9523809523809523,18,"['perimeter_se', 'smoothness_se', 'concavity_mean', 'area_mean', 'concavity_se', 'compactness_worst', 'concave points_se', 'radius_mean', 'perimeter_mean', 'fractal_dimension_se', 'compactness_mean', 'fractal_dimension_mean', 'radius_se', 'texture_se', 'smoothness_worst', 'symmetry_mean', 'fractal_dimension_worst', 'symmetry_se']"
Shapicant,"XGBClassifier(colsample_bytree=0.5, learning_rate=0.001, max_depth=5, n_estimators=900)",{},{},121.78047943115234,0.960978835978836,0.960978835978836,0.9457364341085271,0.9457364341085271,18,"['perimeter_se', 'smoothness_se', 'concavity_se', 'compactness_worst', 'concave points_se', 'radius_mean', 'fractal_dimension_se', 'compactness_mean', 'fractal_dimension_mean', 'radius_se', 'compactness_se', 'texture_se', 'smoothness_worst', 'symmetry_worst', 'symmetry_mean', 'smoothness_mean', 'fractal_dimension_worst', 'symmetry_se']"
